-1-
北京市小客车指标调控管理信息系统
单位新能源指标配置
期号：201601
描述：2016年第01期单位示范应用新能源小客车指标配置结果
指标配置日期：2016-02-26
实际指标配置时间：2016-02-26 10:21:35
有效编码总数：1819
指标配置总数：1819
-指标配置列表-
轮候序号 轮候时间 申请编码
333 2016-01-05 18:06:51.324 0622105323470
334 2016-01-05 18:06:51.324 2631105323471
335 2016-01-05 18:06:51.324 1266105323472
336 2016-01-05 18:06:51.324 4130105323473
337 2016-01-05 18:14:44.602 9837105323511
338 2016-01-05 18:31:11.890 0517105323557
339 2016-01-05 18:35:05.300 4720105323585
340 2016-01-05 18:37:02.119 9510105323575
341 2016-01-05 21:04:59.965 3837105324120
342 2016-01-05 21:04:59.965 9268105324121
343 2016-01-05 21:06:45.445 4820105324123
344 2016-01-05 21:56:58.588 8534105336504
345 2016-01-06 08:34:44.300 5139105324665
346 2016-01-06 08:52:13.308 6602105324778
347 2016-01-06 09:09:30.746 9680105324921
348 2016-01-06 09:09:30.746 7505105324922
349 2016-01-06 09:09:30.746 5559105324923
350 2016-01-06 09:09:30.746 8234105324944
351 2016-01-06 09:09:30.746 7152105324945
352 2016-01-06 09:21:20.820 7127105325020
353 2016-01-06 09:21:20.820 6753105325021
354 2016-01-06 09:25:09.280 2865105325086
355 2016-01-06 09:40:46.646 2387105325284
356 2016-01-06 09:40:46.646 9780105325285
357 2016-01-06 09:40:46.646 9728105325286
358 2016-01-06 09:40:46.646 2669105325287
359 2016-01-06 09:40:46.646 2760105325288
360 2016-01-06 09:42:41.609 1271105325300
361 2016-01-06 09:52:43.545 5011105325385
362 2016-01-06 09:52:43.545 0175105325386
363 2016-01-06 09:56:18.709 2869105325466
364 2016-01-06 09:56:18.709 7269105325467
-11-
365 2016-01-06 09:56:18.709 8592105325468
366 2016-01-06 09:56:18.709 9643105325469
367 2016-01-06 09:56:18.709 8490105325470
368 2016-01-06 10:19:22.554 1009105325753
369 2016-01-06 10:22:10.369 1631105325770
370 2016-01-06 10:28:44.226 5644105325867
371 2016-01-06 10:28:44.226 6669105325868
372 2016-01-06 10:28:44.226 6703105325869
373 2016-01-06 10:28:44.226 0437105325870
374 2016-01-06 10:28:44.226 7763105325873
375 2016-01-06 10:34:39.490 3031105325952
376 2016-01-06 10:54:13.925 8872105326113
377 2016-01-06 10:55:28.402 9083105326119
378 2016-01-06 11:11:09.174 7685105326314
379 2016-01-06 11:19:47.669 3091105326981
380 2016-01-06 11:27:00.928 5655105326479
381 2016-01-06 11:29:32.413 2222105326539
382 2016-01-06 11:29:32.413 5899105326540
383 2016-01-06 11:29:32.413 6497105326541
384 2016-01-06 11:29:32.413 0899105326542
385 2016-01-06 11:29:32.413 2313105326543
386 2016-01-06 11:34:35.419 5812105326572
387 2016-01-06 11:35:41.668 8748105326591
388 2016-01-06 11:57:46.667 3650105326823
389 2016-01-06 12:00:15.446 7374105326874
390 2016-01-06 12:07:26.366 3885105326918
391 2016-01-06 12:15:21.773 6710105326941
392 2016-01-06 12:24:59.942 7201105327004
393 2016-01-06 12:51:19.130 1398105327140
394 2016-01-06 13:19:29.958 8174105327324
395 2016-01-06 13:45:02.700 9196105327487
396 2016-01-06 13:45:02.700 8303105327488
397 2016-01-06 13:45:02.700 0813105327489
398 2016-01-06 13:45:02.700 4699105327490
399 2016-01-06 13:45:02.700 9539105327491
400 2016-01-06 13:49:54.141 7124105327540
401 2016-01-06 13:59:35.627 5606105327613
402 2016-01-06 14:07:53.210 0377105327717
-12-
403 2016-01-06 14:08:02.551 0338105327718
404 2016-01-06 14:15:39.499 2423105327808
405 2016-01-06 14:27:23.314 1885105327964
406 2016-01-06 14:52:39.309 1342105328194
407 2016-01-06 14:54:15.790 9293105328208
